Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2024-12-26T10:42:01-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6097.0,72.50,1,72.50,-0.85,-0.67,,,,,,,358169210,70.98,USD
2024-12-26T10:12:19-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 22015.0,44.00,1,44.00,-0.85,-0.67,,,,,,,358155073,42.48,USD
2024-12-26T08:38:01-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21993.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358093509,-1.52,USD
2024-12-26T08:34:43-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6082.5,0.00,1,0.00,-0.85,-0.67,,,,,,,358090196,-1.52,USD
2024-12-24T09:30:19-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21935.0,-65.00,1,-65.00,-0.85,-0.67,,,,,,,357987582,-66.52,USD
2024-12-24T09:20:48-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21902.5,0.00,1,0.00,-0.85,-0.67,,,,,,,357983707,-1.52,USD
2024-12-24T08:43:03-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6053.25,17.50,1,17.50,-0.85,-0.67,,,,,,,357954983,15.98,USD
2024-12-24T08:41:08-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21871.75,59.00,1,59.00,-0.85,-0.67,,,,,,,357952774,57.48,USD
2024-12-24T08:39:46-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21842.25,0.00,1,0.00,-0.85,-0.67,,,,,,,357951232,-1.52,USD
2024-12-24T08:39:12-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21845.75,26.00,1,26.00,-0.85,-0.67,,,,,,,357950808,24.48,USD
2024-12-24T08:37:53-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6049.75,0.00,1,0.00,-0.85,-0.67,,,,,,,357949445,-1.52,USD
2024-12-24T08:35:57-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6046.75,7.50,1,7.50,-0.85,-0.67,,,,,,,357947553,5.98,USD
2024-12-24T08:33:39-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21832.75,0.00,1,0.00,-0.85,-0.67,,,,,,,357945129,-1.52,USD
2024-12-24T08:31:01-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21800.0,-73.50,1,-73.50,-0.85,-0.67,,,,,,,357939191,-75.02,USD
2024-12-24T08:02:38-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21836.75,0.00,1,0.00,-0.85,-0.67,,,,,,,357938842,-1.52,USD
2024-12-24T07:55:17-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6045.25,0.00,1,0.00,-0.85,-0.67,,,,,,,357938303,-1.52,USD
2024-12-24T05:46:13-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6037.75,-20.00,1,-20.00,-0.85,-0.67,,,,,,,357933771,-21.52,USD
2024-12-24T04:37:09-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6041.75,0.00,1,0.00,-0.85,-0.67,,,,,,,357933743,-1.52,USD
2024-12-24T04:35:25-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6042.75,31.25,1,31.25,-0.85,-0.67,,,,,,,357933717,29.73,USD
2024-12-24T02:15:22-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21740.5,-45.00,1,-45.00,-0.85,-0.67,,,,,,,357932247,-46.52,USD
2024-12-24T00:40:11-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21763.0,0.00,1,0.00,-0.85,-0.67,,,,,,,357932229,-1.52,USD
2024-12-24T00:39:28-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6036.5,0.00,1,0.00,-0.85,-0.67,,,,,,,357932225,-1.52,USD
2024-12-23T10:48:06-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21694.5,162.00,1,162.00,-0.85,-0.67,,,,,,,357823426,160.48,USD
2024-12-23T10:46:20-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6006.5,151.25,1,151.25,-0.85,-0.67,,,,,,,357822351,149.73,USD
2024-12-23T10:18:21-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21613.5,0.00,1,0.00,-0.85,-0.67,,,,,,,357809685,-1.52,USD
